Original Text,Translated Text,Language,Timestamp
hi and how are you,नमस्ते और आप कैसे हों,hi,2025-05-16 22:17:57
videos,வீடியோக்கள்,ta,2025-05-16 22:18:33
hello mere dost,हैलो मेरे दोस्त,hi,2025-05-17 14:34:51
hi where do you,हाय तुम कहाँ हो,hi,2025-05-17 14:35:24
what is your name,உங்கள் பெயர் என்ன,ta,2025-05-17 14:36:19
what is,क्या है,hi,2025-05-17 15:09:52
what is your name,आपका क्या नाम है,hi,2025-05-17 15:29:55
what is your name,உங்கள் பெயர் என்ன,ta,2025-05-17 15:30:12
what is your name,आपका क्या नाम है,hi,2025-05-17 15:31:51
where do you,நீங்கள் எங்கே இருக்கிறீர்கள்,ta,2025-05-17 15:32:07
how are you,आप कैसे हैं,hi,2025-05-17 15:32:24
how,எப்படி,ta,2025-05-17 15:32:38
